date,actual_target,prediction,prediction_correct,actual_return_pct,strategy_return_pct,strategy_return_after_costs_pct,ml_balance_before,ml_balance_after,buy_hold_balance_before,buy_hold_balance_after,long_only_position,long_only_prediction_correct,long_only_strategy_return_pct,long_only_balance_before,long_only_balance_after
2025-05-18,-1,-1,True,-4.048303622771698,4.048303622771698,3.9483036227716974,10000.0,10394.83036227717,10000.0,9595.16963772283,CASH,True,0.0,10000.0,10000.0
2025-05-19,1,-1,False,0.9708737864077444,-0.9708737864077444,-1.0708737864077444,10394.83036227717,10283.51484878599,9595.16963772283,9688.326624496836,CASH,False,0.0,10000.0,10000.0
2025-05-20,1,-1,False,3.0864197530864335,-3.0864197530864335,-3.1864197530864335,10283.51484878599,9955.838900332696,9688.326624496836,9987.349051178839,CASH,False,0.0,10000.0,10000.0
2025-05-21,1,-1,False,3.460386918470748,-3.460386918470748,-3.560386918470748,9955.838900332696,9601.372514501229,9987.349051178839,10332.949971247843,CASH,False,0.0,10000.0,10000.0
2025-05-22,-1,-1,True,-3.261172018476255,3.261172018476255,3.161172018476255,9601.372514501229,9904.888415819312,10332.949971247843,9995.974698102358,CASH,True,0.0,10000.0,10000.0
2025-05-23,1,-1,False,1.2713570730023438,-1.2713570730023438,-1.3713570730023439,9904.888415819312,9769.057027955985,9995.974698102358,10123.059229442208,CASH,False,0.0,10000.0,10000.0
2025-05-24,-1,1,False,-0.176096341740517,-0.176096341740517,-0.276096341740517,9769.057027955985,9742.085018879254,10123.059229442208,10105.232892466935,LONG,False,-0.276096341740517,10000.0,9972.390365825948
2025-05-25,-1,-1,True,-0.46662493598133004,0.46662493598133004,0.36662493598133006,9742.085018879254,9777.801931842965,10105.232892466935,10058.079355951697,CASH,True,0.0,9972.390365825948,9972.390365825948
2025-05-26,1,1,True,1.0919901663712706,1.0919901663712706,0.9919901663712705,9777.801931842965,9874.796765494106,10058.079355951697,10167.91259344451,LONG,True,0.9919901663712705,9972.390365825948,10071.315497607096
2025-05-27,-1,-1,True,-2.6184820721637747,2.6184820721637747,2.5184820721637746,9874.796765494106,10123.491751695681,10167.91259344451,9901.667625071883,CASH,True,0.0,10071.315497607096,10071.315497607096
2025-05-28,-1,-1,True,-3.2522213833555913,3.2522213833555913,3.152221383355591,10123.491751695681,10442.606623434873,9901.667625071883,9579.643473260498,CASH,True,0.0,10071.315497607096,10071.315497607096
2025-05-29,-1,-1,True,-6.218860675910931,6.218860675910931,6.1188606759109305,10442.606623434873,11081.575173656298,9579.643473260498,8983.898792409433,CASH,True,0.0,10071.315497607096,10071.315497607096
2025-05-30,1,1,True,0.2624335914997111,0.2624335914997111,0.16243359149971112,11081.575173656298,11099.57537420561,8983.898792409433,9007.475560667051,LONG,True,0.16243359149971112,10071.315497607096,10087.674697081127
2025-05-31,1,1,True,0.7277834525025728,0.7277834525025728,0.6277834525025728,11099.57537420561,11169.256671702924,9007.475560667051,9073.0304772858,LONG,True,0.6277834525025728,10087.674697081127,10151.003449571694
2025-06-01,-1,1,False,-0.49435923437698415,-0.49435923437698415,-0.5943592343769841,11169.256671702924,11102.87116326339,9073.0304772858,9028.1771132835,LONG,False,-0.5943592343769841,10151.003449571694,10090.670023187238
2025-06-02,-1,-1,True,-1.0573248407643288,1.0573248407643288,0.9573248407643287,11102.87116326339,11209.16170694737,9028.1771132835,8932.719953996553,CASH,True,0.0,10090.670023187238,10090.670023187238
2025-06-03,-1,-1,True,-1.2746234067207318,1.2746234067207318,1.1746234067207317,11209.16170694737,11340.827144054352,8932.719953996553,8818.861414606099,CASH,True,0.0,10090.670023187238,10090.670023187238
2025-06-04,-1,-1,True,-5.751173708920199,5.751173708920199,5.651173708920199,11340.827144054352,11981.716985993238,8818.861414606099,8311.673375503166,CASH,True,0.0,10090.670023187238,10090.670023187238
2025-06-05,1,1,True,2.3315345233153595,2.3315345233153595,2.2315345233153594,11981.716985993238,12249.093137021617,8311.673375503166,8505.462909718233,LONG,True,2.2315345233153594,10090.670023187238,10315.846808388495
2025-06-06,1,-1,False,1.5009127171928816,-1.5009127171928816,-1.6009127171928816,12249.093137021617,12052.995847250237,8505.462909718233,8633.122484186319,CASH,False,0.0,10315.846808388495,10315.846808388495
2025-06-07,1,1,True,1.532005595150876,1.532005595150876,1.4320055951508759,12052.995847250237,12225.595422166165,8633.122484186319,8765.382403680282,LONG,True,1.4320055951508759,10315.846808388495,10463.570311871812
2025-06-08,1,-1,False,5.681296332742902,-5.681296332742902,-5.781296332742903,12225.595422166165,11518.797522368488,8765.382403680282,9263.369752731462,CASH,False,0.0,10463.570311871812,10463.570311871812
2025-06-09,1,-1,False,2.445837730461231,-2.445837730461231,-2.545837730461231,11518.797522368488,11225.547628948598,9263.369752731462,9489.936745255902,CASH,False,0.0,10463.570311871812,10463.570311871812
2025-06-10,-1,1,False,-2.405623220020603,-2.405623220020603,-2.505623220020603,11225.547628948598,10944.27770098319,9489.936745255902,9261.644623346758,LONG,False,-2.505623220020603,10463.570311871812,10201.39266449437
2025-06-11,-1,1,False,-5.134732397864161,-5.134732397864161,-5.2347323978641604,10944.27770098319,10371.3740504576,9261.644623346758,8786.083956296727,LONG,False,-5.2347323978641604,10201.39266449437,9667.377057652744
2025-06-12,-1,1,False,-2.7226912756070365,-2.7226912756070365,-2.8226912756070366,10371.3740504576,10078.622179974762,8786.083956296727,8546.866014951127,LONG,False,-2.8226912756070366,9667.377057652744,9394.496848866343
2025-06-13,-1,-1,True,-2.603781201641664,2.603781201641664,2.503781201641664,10078.622179974762,10330.968827501456,8546.866014951127,8324.324324324329,CASH,True,0.0,9394.496848866343,9394.496848866343
2025-06-14,1,1,True,5.560928433268875,5.560928433268875,5.460928433268874,10330.968827501456,10895.135641634626,8324.324324324329,8787.234042553197,LONG,True,5.460928433268874,9394.496848866343,9907.523598448633
2025-06-15,-1,-1,True,-1.2695504220927911,1.2695504220927911,1.169550422092791,10895.135641634626,11022.559746518946,8787.234042553197,8675.67567567568,CASH,True,0.0,9907.523598448633,9907.523598448633
2025-06-16,-1,1,False,-2.0680055677072984,-2.0680055677072984,-2.1680055677072985,11022.559746518946,10783.590037510552,8675.67567567568,8496.26221966648,LONG,False,-2.1680055677072985,9907.523598448633,9692.727935212353
2025-06-17,-1,1,False,-0.9475465313028786,-0.9475465313028786,-1.0475465313028787,10783.590037510552,10670.626914122688,8496.26221966648,8415.756181713634,LONG,False,-1.0475465313028787,9692.727935212353,9591.192099938411
2025-06-18,1,1,True,0.49197130167406555,0.49197130167406555,0.3919713016740656,10670.626914122688,10712.452709334757,8415.756181713634,8457.159286946526,LONG,True,0.3919713016740656,9591.192099938411,9628.7868204586
2025-06-19,-1,1,False,-4.691643435098936,-4.691643435098936,-4.791643435098936,10712.452709334757,10199.15017234984,8457.159286946526,8060.379528464639,LONG,False,-4.791643435098936,9628.7868204586,9167.409688896423
2025-06-20,-1,1,False,-3.5742312905757245,-3.5742312905757245,-3.6742312905757246,10199.15017234984,9824.409805344554,8060.379528464639,7772.282921219096,LONG,False,-3.6742312905757246,9167.409688896423,8830.57785357172
2025-06-21,-1,1,False,-2.6191180822728533,-2.6191180822728533,-2.7191180822728533,9824.409805344554,9557.272501850843,7772.282921219096,7568.717653824042,LONG,False,-2.7191180822728533,8830.57785357172,8590.464014386069
2025-06-22,1,1,True,10.051663880869157,10.051663880869157,9.951663880869157,9557.272501850843,10508.380137413775,7568.717653824042,8329.49971247844,LONG,True,9.951663880869157,8590.464014386069,9445.35811890479
2025-06-23,1,-1,False,0.7594062823610637,-0.7594062823610637,-0.8594062823610638,10508.380137413775,10418.070458338458,8329.49971247844,8392.754456584249,CASH,False,0.0,9445.35811890479,9445.35811890479
2025-06-24,-1,-1,True,-1.6718054128126103,1.6718054128126103,1.5718054128126102,10418.070458338458,10581.822253713253,8392.754456584249,8252.443933295002,CASH,True,0.0,9445.35811890479,9445.35811890479
2025-06-25,-1,-1,True,-3.1008292105079716,3.1008292105079716,3.0008292105079715,10581.822253713253,10899.364666906713,8252.443933295002,7996.549741230598,CASH,True,0.0,9445.35811890479,9445.35811890479
2025-06-26,1,1,True,2.250826981159215,2.250826981159215,2.150826981159215,10899.364666906713,11133.791142937476,7996.549741230598,8176.538240368033,LONG,True,2.150826981159215,9445.35811890479,9648.511429793307
2025-06-27,1,1,True,6.076376679091378,6.076376679091378,5.976376679091377,11133.791142937476,11799.188440302732,8176.538240368033,8673.375503162744,LONG,True,5.976376679091377,9648.511429793307,10225.142816762938
2025-06-28,1,1,True,1.670755154810033,1.670755154810033,1.570755154810033,11799.188440302732,11984.52480095454,8673.375503162744,8818.286371477867,LONG,True,1.570755154810033,10225.142816762938,10385.75477464393
2025-06-29,1,-1,False,0.9064232148679574,-0.9064232148679574,-1.0064232148679575,11984.52480095454,11863.909761166125,8818.286371477867,8898.217366302479,CASH,False,0.0,10385.75477464393,10385.75477464393
2025-06-30,-1,1,False,-5.047175907974665,-5.047175907974665,-5.147175907974665,11863.909761166125,11253.253456195527,8898.217366302479,8449.108683151242,LONG,False,-5.147175907974665,10385.75477464393,9851.18170702213
2025-07-01,1,-1,False,3.6071598720478937,-3.6071598720478937,-3.7071598720478938,11253.253456195527,10836.077359767603,8449.108683151242,8753.881541115588,CASH,False,0.0,9851.18170702213,9851.18170702213
2025-07-02,1,1,True,0.1116731261906478,0.1116731261906478,0.011673126190647797,10836.077359767603,10837.342268751927,8753.881541115588,8763.657274295578,LONG,True,0.011673126190647797,9851.18170702213,9852.331647894061
2025-07-03,-1,-1,True,-3.0446194225721923,3.0446194225721923,2.9446194225721922,10837.342268751927,11156.46075408822,8763.657274295578,8496.837262794714,CASH,True,0.0,9852.331647894061,9852.331647894061
2025-07-04,-1,1,False,-0.081212777476991,-0.081212777476991,-0.18121277747699102,11156.46075408822,11136.243821687607,8496.837262794714,8489.936745255898,LONG,False,-0.18121277747699102,9852.331647894061,9834.477964068668
2025-07-05,1,1,True,2.865077214846945,2.865077214846945,2.765077214846945,11136.243821687607,11444.169562190893,8489.936745255898,8733.179988499143,LONG,True,2.765077214846945,9834.477964068668,10106.408873452276
2025-07-06,-1,1,False,-1.9753736748534974,-1.9753736748534974,-2.0753736748534974,11444.169562190893,11206.660279791586,8733.179988499143,8560.667050028758,LONG,False,-2.0753736748534974,10106.408873452276,9896.663124219589
2025-07-07,1,1,True,1.9748774098206523,1.9748774098206523,1.8748774098206522,11206.660279791586,11416.77142177274,8560.667050028758,8729.729729729735,LONG,True,1.8748774098206522,9896.663124219589,10082.213425461632
2025-07-08,1,1,True,3.6031881957710343,3.6031881957710343,3.5031881957710342,11416.77142177274,11816.722410558446,8729.729729729735,9044.278320874071,LONG,True,3.5031881957710342,10082.213425461632,10435.412336054847
