Date,Open,High,Low,Close,Adj Close,Volume
2025-08-01,3697.74,3720.51,3548.86,3567.99,3567.99,42433388544
2025-07-30,3793.58,3832.88,3683.14,3808.2,3808.2,34392494235
2025-07-29,3788.32,3884.0,3716.88,3793.45,3793.45,35540435995
2025-07-28,3875.26,3940.65,3756.52,3787.43,3787.43,35831336149
2025-07-27,3741.26,3876.93,3733.68,3875.25,3875.25,28897450394
2025-07-26,3727.24,3789.79,3702.77,3741.4,3741.4,24635287361
2025-07-25,3708.01,3744.82,3579.96,3727.27,3727.27,42264509577
2025-07-24,3629.73,3771.38,3515.0,3708.01,3708.01,40377960354
2025-07-23,3749.24,3765.03,3532.86,3629.7,3629.7,41283228953
2025-07-22,3762.88,3798.1,3624.14,3749.15,3749.15,45248868820
2025-07-21,3758.92,3856.77,3705.35,3763.37,3763.37,42611467663
2025-07-20,3595.24,3819.4,3582.35,3759.47,3759.47,44600451066
2025-07-19,3548.93,3608.28,3512.97,3595.27,3595.27,26031719746
2025-07-18,3476.12,3674.86,3463.39,3549.02,3549.02,59198465810
2025-07-17,3371.51,3521.69,3316.0,3476.78,3476.78,47532846793
2025-07-16,3139.89,3422.6,3102.48,3371.51,3371.51,46771354461
2025-07-15,3013.29,3142.43,2934.37,3139.89,3139.89,39013656112
2025-07-14,2973.23,3079.99,2965.32,3013.35,3013.35,36349290556
2025-07-13,2942.85,3016.39,2938.74,2973.36,2973.36,17361753131
2025-07-12,2958.33,2979.78,2907.19,2942.91,2942.91,16317198254
2025-07-11,2954.83,3038.14,2916.96,2957.89,2957.89,36226558863
2025-07-10,2770.74,2995.15,2757.27,2954.85,2954.85,33929201261
2025-07-09,2615.51,2794.52,2591.95,2770.78,2770.78,27229452849
2025-07-08,2542.97,2626.66,2525.44,2615.51,2615.51,17537487206
2025-07-07,2571.4,2589.32,2517.9,2543.01,2543.01,18440266947
2025-07-06,2517.28,2603.06,2505.37,2571.24,2571.24,13190436110
2025-07-05,2508.1,2529.84,2489.0,2517.28,2517.28,9289382302
2025-07-04,2590.85,2601.12,2475.75,2508.52,2508.52,17222740209
2025-07-03,2570.8,2635.19,2558.58,2591.01,2591.01,20873559425
2025-07-02,2405.86,2616.78,2378.39,2571.34,2571.34,22792512025
2025-07-01,2486.43,2500.59,2389.82,2405.79,2405.79,15025451796
2025-06-30,2500.61,2521.72,2438.05,2486.46,2486.46,16859727663
2025-06-29,2437.11,2523.32,2417.63,2500.96,2500.96,12500580479
2025-06-28,2423.93,2448.19,2407.76,2437.11,2437.11,8273074809
2025-06-27,2416.02,2463.15,2386.32,2423.87,2423.87,15309834970
2025-06-26,2419.15,2519.62,2399.53,2416.15,2416.15,18300413888
2025-06-25,2448.74,2468.68,2394.61,2419.31,2419.31,17158118625
2025-06-24,2421.83,2481.22,2379.57,2448.01,2448.01,19539047009
2025-06-23,2228.48,2434.24,2191.42,2421.82,2421.82,26247439429
2025-06-22,2298.84,2313.85,2116.68,2228.21,2228.21,28458151601
2025-06-21,2407.35,2448.41,2222.81,2300.5,2300.5,16108791762
2025-06-20,2521.53,2569.01,2371.47,2407.3,2407.3,22592586688
2025-06-19,2524.4,2546.77,2486.1,2521.65,2521.65,12782730709
2025-06-18,2510.82,2546.63,2469.05,2524.3,2524.3,19873957905
2025-06-17,2540.31,2617.9,2456.65,2510.76,2510.76,25653232897
2025-06-16,2547.23,2680.09,2517.15,2540.6,2540.6,22792449577
2025-06-15,2533.18,2558.68,2493.2,2546.84,2546.84,13961893828
2025-06-14,2579.72,2580.16,2491.49,2533.44,2533.44,14285000473
2025-06-13,2651.92,2651.92,2443.96,2579.49,2579.49,37986747138
2025-06-12,2773.6,2784.26,2619.97,2651.8,2651.8,25924959613
2025-06-11,2813.74,2877.63,2746.46,2773.53,2773.53,30705408054
2025-06-10,2681.29,2824.81,2658.68,2813.52,2813.52,35555755055
2025-06-09,2510.84,2693.81,2479.87,2681.52,2681.52,20605172560
