Date,Open,High,Low,Close,Adj Close,Volume
2025-08-01,172.38,172.38,165.31,166.74,166.74,7744199680
2025-07-30,181.34,182.38,172.34,177.69,177.69,6074764559
2025-07-29,182.56,186.49,178.57,181.34,181.34,5430304723
2025-07-28,188.73,194.66,182.37,182.54,182.54,7456216270
2025-07-27,184.91,190.44,184.74,188.73,188.73,4713357652
2025-07-26,186.78,189.65,184.53,184.91,184.91,3756183776
2025-07-25,182.6,186.79,176.41,186.78,186.78,8613557362
2025-07-24,189.54,191.88,179.95,182.61,182.61,8921891799
2025-07-23,205.71,205.76,184.33,189.54,189.54,10671351702
2025-07-22,195.99,205.87,194.28,205.7,205.7,14508715185
2025-07-21,181.55,198.92,178.56,195.99,195.99,11211509986
2025-07-20,177.07,183.32,176.53,181.55,181.55,6503778374
2025-07-19,177.38,178.37,174.31,177.07,177.07,4074891432
2025-07-18,175.79,184.37,173.91,177.38,177.38,8439352014
2025-07-17,173.71,178.07,169.03,175.79,175.79,7913250794
2025-07-16,163.95,175.84,161.69,173.71,173.71,8415349750
2025-07-15,162.28,164.12,157.6,163.95,163.95,6533486768
2025-07-14,161.19,168.34,160.78,162.28,162.28,7130680773
2025-07-13,160.68,163.96,159.92,161.19,161.19,3865898680
2025-07-12,162.88,163.85,158.0,160.68,160.68,3795297694
2025-07-11,164.06,167.92,160.07,162.88,162.88,7095844188
2025-07-10,157.28,165.08,156.05,164.06,164.06,5703252463
2025-07-09,151.81,157.88,150.7,157.28,157.28,4759358090
2025-07-08,148.87,152.8,147.95,151.81,151.81,3885408944
2025-07-07,151.87,153.28,147.79,148.87,148.87,3661294298
2025-07-06,147.64,153.39,146.9,151.87,151.87,2921512526
2025-07-05,147.76,148.59,146.08,147.64,147.64,1579874806
2025-07-04,152.4,153.56,145.45,147.76,147.76,3575641174
2025-07-03,152.23,156.19,150.15,152.4,152.4,3748228101
2025-07-02,146.93,154.41,146.23,152.23,152.23,3941952132
2025-07-01,154.74,155.35,145.21,146.93,146.93,3599415509
2025-06-30,153.35,159.63,149.61,154.74,154.74,4752163067
2025-06-29,150.83,154.42,149.53,153.35,153.35,2462940245
2025-06-28,142.19,152.44,141.35,150.83,150.83,2847495210
2025-06-27,139.06,144.4,137.79,142.19,142.19,3327165986
2025-06-26,143.51,147.73,138.81,139.06,139.06,3480832173
2025-06-25,145.95,147.77,142.56,143.51,143.51,3095794422
2025-06-24,144.85,146.59,142.57,145.95,145.95,3709899362
2025-06-23,131.62,146.6,131.16,144.85,144.85,5742740781
2025-06-22,135.2,137.55,126.83,131.62,131.62,4990284543
2025-06-21,140.17,142.5,132.41,135.16,135.16,3335622844
2025-06-20,147.07,148.72,136.51,140.17,140.17,4112242022
2025-06-19,146.36,147.79,143.11,147.07,147.07,2754965137
2025-06-18,147.75,149.16,143.97,146.35,146.35,3507323344
2025-06-17,150.86,154.15,145.87,147.75,147.75,4505742897
2025-06-16,152.81,158.61,150.87,150.87,150.87,4629439778
2025-06-15,144.76,153.22,144.36,152.81,152.81,3600058127
2025-06-14,148.63,148.65,142.23,144.76,144.76,2159011897
2025-06-13,152.79,152.79,141.44,148.63,148.63,6346327306
2025-06-12,161.06,161.2,152.24,152.79,152.79,3655760294
2025-06-11,165.03,168.02,159.43,161.06,161.06,5292694830
2025-06-10,161.09,165.53,156.84,165.03,165.03,4891108456
2025-06-09,152.43,161.5,149.84,161.09,161.09,3689102023
2025-06-08,150.13,155.04,148.22,152.43,152.43,1928262265
2025-06-07,147.91,152.83,147.19,150.13,150.13,1895979261
2025-06-06,144.54,152.02,144.44,147.91,147.91,2780168622
2025-06-05,153.36,154.56,141.9,144.54,144.54,4691163987
2025-06-04,155.34,157.85,153.18,153.36,153.36,2694510572
2025-06-03,157.0,163.39,154.71,155.34,155.34,3739800274
2025-06-02,157.78,158.89,152.0,157.0,157.0,3070599881
2025-06-01,156.64,157.83,150.84,157.78,157.78,2554572841
2025-05-31,156.24,157.94,152.44,156.64,156.64,2817151487
2025-05-30,166.59,167.35,156.03,156.23,156.23,4458908034
2025-05-29,172.19,175.18,166.26,166.59,166.59,3480369993
2025-05-28,176.81,177.38,169.11,172.19,172.19,3454599629
2025-05-27,174.91,179.22,171.58,176.82,176.82,3737068836
2025-05-26,175.73,178.98,173.7,174.91,174.91,2872898398
2025-05-25,176.03,176.72,169.36,175.73,175.73,3395309315
2025-05-24,173.84,178.14,172.79,176.04,176.04,3002798120
2025-05-23,179.69,187.28,173.57,173.83,173.83,7488253558
2025-05-22,173.68,180.55,172.76,179.69,179.69,4913432701
2025-05-21,168.48,175.52,166.3,173.68,173.68,5254974027
2025-05-20,166.86,172.86,164.78,168.48,168.48,3787047019
2025-05-19,173.84,173.84,159.65,166.86,166.86,4498613127
2025-05-18,165.93,176.49,165.51,173.9,173.9,3866092629
2025-05-17,167.33,169.77,164.22,165.93,165.93,2783616834
2025-05-16,169.01,173.96,166.76,167.33,167.33,3495576096
2025-05-15,176.71,178.11,167.28,169.01,169.01,4347587992
2025-05-14,184.01,184.72,173.73,176.71,176.71,4610872279
2025-05-13,174.25,184.7,166.81,184.01,184.01,5170161208
2025-05-12,173.04,180.95,169.08,174.25,174.25,6940951587
2025-05-11,177.62,179.62,169.72,173.03,173.03,4025374577
2025-05-10,172.83,178.57,168.93,177.62,177.62,4012477696
2025-05-09,163.96,175.86,161.25,172.83,172.83,7452318987
2025-05-08,147.22,163.98,147.21,163.96,163.96,6372889923
2025-05-07,146.77,149.34,144.88,147.21,147.21,4316881378
2025-05-06,146.7,147.09,141.67,146.77,146.77,2728680947
2025-05-05,143.99,147.62,142.9,146.7,146.7,2238980623
2025-05-04,146.8,147.68,143.82,143.98,143.98,1636835620
2025-05-03,148.05,148.96,146.11,146.8,146.8,1567415096
2025-05-02,150.84,151.73,147.45,148.05,148.05,2823970426
2025-05-01,147.64,153.87,147.61,150.85,150.85,3224541533
2025-04-30,146.43,148.21,140.71,147.64,147.64,3017472875
2025-04-29,147.81,150.04,145.17,146.43,146.43,2872743502
2025-04-28,148.25,153.21,144.89,147.81,147.81,3819502747
2025-04-27,149.29,150.21,145.77,148.25,148.25,2015737709
2025-04-26,150.92,153.02,148.04,149.29,149.29,2128235815
2025-04-25,152.32,156.05,150.13,150.92,150.92,4411923686
2025-04-24,151.15,152.75,145.66,152.3,152.3,3903057847
2025-04-23,148.74,153.87,147.45,151.15,151.15,4699152180
2025-04-22,136.7,149.95,135.38,148.74,148.74,4659792312
2025-04-21,137.77,142.66,134.12,136.7,136.7,4162691832
2025-04-20,139.75,141.83,135.77,137.77,137.77,2796023398
2025-04-19,134.07,140.09,133.69,139.75,139.75,2522912658
2025-04-18,134.7,135.87,132.59,134.07,134.07,2142264993
2025-04-17,131.45,135.91,129.73,134.7,134.7,3504448606
2025-04-16,126.26,133.59,123.72,131.45,131.45,4448562334
2025-04-15,129.31,134.19,126.14,126.26,126.26,3272094237
2025-04-14,128.58,135.19,128.23,129.31,129.31,4425565001
2025-04-13,132.26,133.51,125.52,128.58,128.58,3818650340
2025-04-12,121.53,133.76,119.66,132.26,132.26,4089397536
