Date,Price,Open,High,Low,Change %
2025-07-31,6221.81,6275.33,6281.38,6211.31,-1.85%
2025-07-30,6339.39,6427.02,6427.02,6327.64,-0.37%
2025-07-29,6362.9,6381.23,6396.54,6336.38,-0.12%
2025-07-28,6370.86,6405.62,6409.26,6363.92,-0.30%
2025-07-27,6389.77,6397.69,6401.07,6375.79,+0.02%
2025-07-24,6388.64,6370.01,6395.82,6368.53,+0.40%
2025-07-23,6363.35,6368.6,6381.31,6360.57,+0.07%
2025-07-22,6358.91,6326.9,6360.64,6317.49,+0.78%
2025-07-21,6309.62,6306.6,6316.12,6281.71,+0.06%
2025-07-20,6305.6,6304.74,6336.08,6303.79,+0.14%
2025-07-17,6296.79,6312.95,6315.61,6285.27,-0.01%
2025-07-16,6297.36,6263.4,6304.69,6262.27,+0.54%
2025-07-15,6263.7,6254.5,6268.12,6201.59,+0.32%
2025-07-14,6243.76,6295.29,6302.04,6241.68,-0.40%
2025-07-13,6268.56,6255.15,6273.31,6239.22,+0.14%
2025-07-10,6259.75,6255.68,6269.44,6237.6,-0.33%
2025-07-09,6280.46,6266.8,6290.22,6251.44,+0.27%
2025-07-08,6263.26,6243.33,6269.16,6231.43,+0.61%
2025-07-07,6225.52,6234.03,6242.7,6217.75,-0.07%
2025-07-06,6229.98,6259.04,6262.07,6201.0,-0.79%
2025-07-02,6279.35,6246.46,6284.65,6246.46,+0.83%
2025-07-01,6227.42,6193.88,6227.6,6188.29,+0.47%
2025-06-30,6198.01,6187.25,6210.78,6177.97,-0.11%
2025-06-29,6204.95,6193.36,6215.08,6174.97,+0.52%
2025-06-26,6173.07,6150.7,6187.68,6132.35,+0.52%
2025-06-25,6141.02,6112.09,6146.52,6107.27,+0.80%
2025-06-24,6092.16,6104.23,6108.51,6080.09,0.00%
2025-06-23,6092.18,6061.21,6101.76,6059.25,+1.11%
2025-06-22,6025.17,5969.67,6028.77,5943.23,+0.96%
2025-06-19,5967.84,5999.67,6018.2,5952.56,-0.22%
2025-06-17,5980.87,5987.93,6018.25,5971.89,-0.03%
2025-06-16,5982.72,6012.15,6023.25,5974.8,-0.84%
2025-06-15,6033.11,6004.0,6050.83,6004.0,+0.94%
2025-06-12,5976.97,6000.56,6026.16,5963.21,-1.13%
2025-06-11,6045.26,6009.9,6045.43,6003.88,+0.38%
2025-06-10,6022.24,6049.38,6059.4,6002.32,-0.27%
2025-06-09,6038.81,6009.91,6043.01,6000.28,+0.55%
2025-06-08,6005.88,6004.63,6021.31,5994.18,+0.09%
2025-06-05,6000.36,5987.06,6016.87,5978.63,+1.03%
2025-06-04,5939.3,5985.67,5999.7,5921.2,-0.53%
2025-06-03,5970.81,5978.94,5990.48,5966.11,+0.01%
2025-06-02,5970.37,5938.56,5981.35,5929.0,+0.58%
2025-06-01,5935.94,5896.68,5937.4,5861.43,+0.41%
2025-05-29,5911.69,5903.67,5922.14,5843.66,-0.01%
2025-05-28,5912.17,5939.96,5943.13,5873.8,+0.40%
2025-05-27,5888.55,5925.54,5939.92,5881.88,-0.56%
2025-05-26,5921.54,5854.07,5924.33,5854.07,+2.05%
2025-05-22,5802.82,5781.89,5829.51,5767.41,-0.67%
2025-05-21,5842.01,5841.26,5878.08,5825.82,-0.04%
2025-05-20,5844.61,5910.18,5938.37,5830.91,-1.61%
2025-05-19,5940.46,5944.66,5953.06,5909.26,-0.39%
2025-05-18,5963.6,5902.88,5968.61,5895.69,+0.09%
2025-05-15,5958.38,5929.09,5958.62,5907.36,+0.70%
2025-05-14,5916.93,5869.82,5924.21,5865.16,+0.41%
2025-05-13,5892.58,5896.74,5906.55,5872.11,+0.10%
2025-05-12,5886.55,5854.15,5906.64,5845.02,+0.72%
2025-05-11,5844.19,5807.2,5845.37,5786.08,+3.26%
2025-05-08,5659.91,5679.65,5691.69,5644.15,-0.07%
2025-05-07,5663.94,5663.6,5720.1,5635.38,+0.58%
2025-05-06,5631.28,5614.18,5654.73,5578.64,+0.43%
2025-05-05,5606.91,5605.87,5649.58,5586.04,-0.77%
